path,title,order,section,description
"/intro","Introduction ","1A","Welcome","React bootcamp @GirlScript-Gujarat by Darsh Shah."
"/overview","Course Overview","1B","Welcome","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/setup","Setup","1C","Welcome","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/what-you-will-learn","What you'll learn","2A","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/what-is-react","What is React","2B","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/why-react","Why React?","2C","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/basic-react-app","Basic React app using Pure JavaScript","2D","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/getting-started","Getting Started","2D","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/rendering-elements","Rendering Elements","2E","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/components-and-props","Components & Props","2F","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/intro-to-jsx","Introducing JSX","2G","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/intro-to-cra","Intro to create-react-app","2H","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/state-and-lifecycle-methods","State & Lifecycle methods","2I","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/props-vs-state","Props vs State","2J","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/virtual-dom-in-react","Concept of Virtual DOM in React","2K","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/build-counter-app","Building a counter app using class components","2L","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/data-fetching","Data fetching in React","2M","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."
"/final-thoughts","Final Thoughts","2N","React Bootcamp","React bootcamp @GirlScript-Gujarat Summit by Darsh Shah."